run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,29.70,5.61,4.32
2,26.80,5.64,4.32
3,27.24,5.46,4.11
4,27.95,4.92,3.20
5,29.51,5.52,4.07
6,35.81,4.82,3.90
7,29.98,5.33,3.97
8,33.89,5.87,4.38
9,27.29,5.64,3.96
10,28.53,5.40,3.91
11,29.57,5.48,4.00
12,33.93,5.49,4.17
13,30.27,5.55,4.40
14,28.67,4.91,3.65
15,29.71,5.29,3.97
16,28.08,5.21,3.72
17,35.88,5.36,4.36
18,29.88,4.70,3.78
19,29.85,5.03,3.91
20,29.44,5.28,4.13
21,36.30,5.45,3.80
22,28.08,3.99,3.23
23,23.93,3.86,2.74
24,36.36,5.01,3.86
25,31.64,5.27,3.72
