run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,65.46,4.27,3.87
2,null,3.16,3.16
3,null,6.34,5.45
4,66.35,6.19,5.27
5,66.23,3.57,3.57
6,68.13,7.08,6.16
7,44.60,4.14,3.95
8,43.73,4.53,4.34
9,65.23,6.88,5.96
10,null,5.04,4.51
11,null,6.03,5.27
12,67.43,6.18,5.42
13,44.07,6.05,5.49
14,null,4.48,3.55
15,69.39,5.53,4.97
16,null,3.34,3.14
17,null,7.09,5.77
18,45.78,5.78,5.25
19,null,3.79,3.79
20,37.29,3.93,3.93
21,65.62,6.08,5.36
22,null,4.38,3.85
23,41.71,5.11,4.36
24,null,7.21,6.42
25,41.89,4.47,3.87
